VR1,VR2,VR3,VR4,VR5,VR7,VR8,VR9,VR10,VR11,VR12,VR13,VR14,VR16,P1,P2,P3,N1,N2,N3
X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
X,X,X,X,X,X,X,X,X,X,X,P,X,X,X,X,X,X,X,X
X,X,X,X,X,X,X,X,X,X,X,P,X,X,X,X,X,X,X,X
X,X,X,X,X,X,X,X,X,X,X,P,X,X,X,X,X,X,X,X
X,X,X,X,X,X,X,X,X,X,P,P,X,X,X,X,X,X,X,X
X,X,X,X,X,X,X,X,X,X,P,P,X,X,X,X,X,X,X,X
X,X,X,X,X,X,X,X,X,X,P,P,P,X,X,X,X,X,X,X
X,X,X,X,X,X,X,X,X,X,P,P,P,X,X,X,X,X,X,X
X,X,X,X,X,X,X,X,X,P,P,P,P,X,X,X,X,X,X,X
X,X,X,X,X,X,P,X,X,P,P,P,P,X,X,X,X,P,X,X
X,X,X,X,X,X,P,X,X,P,P,P,P,X,X,X,X,P,X,X
X,X,X,X,X,X,P,X,X,P,P,P,P,X,X,X,X,P,X,X
X,X,X,X,X,X,P,X,P,P,P,P,P,X,X,X,X,P,P,X
P,X,X,X,P,X,P,X,P,P,P,P,P,X,X,X,X,P,P,X
P,X,X,X,P,X,P,X,P,P,P,P,P,X,X,X,P,P,P,X
