0 ##VIDEO STARTED					Positive	Positive_Smooth	Negative	Negative_Onset	Mixed	Mixed_Onset
3.118864 ##DATA UPLOADING					0	0	0	0	0	0
3.30984 ##DATA UPLOAD SUCCESS					0	0	0	0	0	0
6.302489 ##DATA UPLOADING					0	0	0	0	0	0
6.52351 ##DATA UPLOAD SUCCESS					0	0	0	0	0	0
9.491055 ##DATA UPLOADING					0	0	0	0	0	0
9.782431 ##DATA UPLOAD SUCCESS					0	0	0	0	0	0
12.678151 ##DATA UPLOADING					0	0	0	0	0	0
12.888172 ##DATA UPLOAD SUCCESS					0	0	0	0	0	0
15.868302 ##DATA UPLOADING					0	0	0	0	0	0
16.149484 ##DATA UPLOAD SUCCESS					0	0	0	0	0	0
19.055654 ##DATA UPLOADING					0	0	0	0	0	0
19.268038 ##DATA UPLOAD SUCCESS					0	0	0	0	0	0
22.240467 ##DATA UPLOADING					0	0.166666667	0	0	0	0
22.52784 ##DATA UPLOAD SUCCESS					0	0.333333333	0	0	0	0
22.695283 Positive On					1	0.5	0	0	0	0
25.428294 ##DATA UPLOADING					1	0.666666667	0	0	0	0
25.637715 ##DATA UPLOAD SUCCESS					1	0.833333333	0	0	0	0
28.615975 ##DATA UPLOADING					1	1	0	0	0	0
28.907437 ##DATA UPLOAD SUCCESS					1	1	0	0	0	0
31.803625 ##DATA UPLOADING					1	1	0	0	0	0
32.006932 ##DATA UPLOAD SUCCESS					1	1	0	0	0	0
34.991868 ##DATA UPLOADING					1	1	0	0	0	0
35.269798 ##DATA UPLOAD SUCCESS					1	1	0	0	0	0
38.178458 ##DATA UPLOADING					1	1	0	0	0	0
38.385466 ##DATA UPLOAD SUCCESS					1	1	0	0	0	0
41.369854 ##DATA UPLOADING					1	1	0	0	0	0
41.64224 ##DATA UPLOAD SUCCESS					1	1	0	0	0	0
44.554479 ##DATA UPLOADING					1	0.833333333	0	0	0	0
44.755293 ##DATA UPLOAD SUCCESS					1	0.666666667	0	0	0	0
45.781365 Positive Off					0	0.5	0	0	0	0
47.74285 ##DATA UPLOADING					0	0.333333333	0	0	0	0
48.021595 ##DATA UPLOAD SUCCESS					0	0.166666667	0	0	0	0
50.928606 ##DATA UPLOADING					0	0	0	0	0	0
51.133024 ##DATA UPLOAD SUCCESS					0	0	0	0	0	0
54.117889 ##DATA UPLOADING					0	0	0	0	0	0
54.383474 ##DATA UPLOAD SUCCESS					0	0	0	0	0	0
57.308627 ##DATA UPLOADING					0	0.166666667	0	0	0	0
57.50902 ##DATA UPLOAD SUCCESS					0	0.333333333	0	0	0	0
58.51228 Positive On					1	0.5	0	0	0	0
60.493261 ##DATA UPLOADING					1	0.666666667	0	0	0	0
60.786389 ##DATA UPLOAD SUCCESS					1	0.833333333	0	0	0	0
63.678671 ##DATA UPLOADING					1	1	0	0	0	0
63.887583 ##DATA UPLOAD SUCCESS					1	1	0	0	0	0
66.871308 ##DATA UPLOADING					1	1	0	0	0	0
67.153418 ##DATA UPLOAD SUCCESS					1	1	0	0	0	0
70.058919 ##DATA UPLOADING					1	1	0	0	0	0
70.268532 ##DATA UPLOAD SUCCESS					1	0.833333333	0	0	0	0
73.244005 ##DATA UPLOADING					1	0.666666667	0	0	0	0
73.370669 Positive Off					0	0.5	0	0	0	0
73.526778 ##DATA UPLOAD SUCCESS					0	0.333333333	0	0	0	0
76.429813 ##DATA UPLOADING					0	0.166666667	0	0	0	0
76.640294 ##DATA UPLOAD SUCCESS					0	0	0	0	0	0
79.620915 ##DATA UPLOADING					0	0	0	0	0	0
79.907756 ##DATA UPLOAD SUCCESS					0	0	0	0	0	0
82.807723 ##DATA UPLOADING					0	0	0	0	0	0
82.999733 ##DATA UPLOAD SUCCESS					0	0	0	0	0	0
85.993281 ##DATA UPLOADING					0	0	0	0	0	0
86.283574 ##DATA UPLOAD SUCCESS					0	0	0	0	0	0
89.179731 ##DATA UPLOADING					0	0	0	0	0	0
89.389547 ##DATA UPLOAD SUCCESS					0	0	0	0	0	0
92.371968 ##DATA UPLOADING					0	0	0	0	0	0
92.657859 ##DATA UPLOAD SUCCESS					0	0	0	0	0	0
95.559617 ##DATA UPLOADING					0	0	0	0	0	0
95.770538 ##DATA UPLOAD SUCCESS					0	0	0	0	0	0
98.74351 ##DATA UPLOADING					0	0	0	0	0	0
99.040942 ##DATA UPLOAD SUCCESS					0	0	0	0	0	0
101.930022 ##DATA UPLOADING					0	0	0	0	0	0
102.138374 ##DATA UPLOAD SUCCESS					0	0	0	0	0	0
105.121194 ##DATA UPLOADING					0	0.166666667	0	0	0	0
105.396506 ##DATA UPLOAD SUCCESS					0	0.333333333	0	0	0	0
107.686636 Positive On					1	0.5	0	0	0	0
108.307267 ##DATA UPLOADING					1	0.666666667	0	0	0	0
108.514242 ##DATA UPLOAD SUCCESS					1	0.833333333	0	0	0	0
111.493116 ##DATA UPLOADING					1	1	0	0	0	0
111.781685 ##DATA UPLOAD SUCCESS					1	1	0	0	0	0
114.680494 ##DATA UPLOADING					1	1	0	0	0	0
114.884481 ##DATA UPLOAD SUCCESS					1	1	0	0	0	0
117.868016 ##DATA UPLOADING					1	1	0	0	0	0
118.144372 ##DATA UPLOAD SUCCESS					1	1	0	0	0	0
121.057255 ##DATA UPLOADING					1	1	0	0	0	0
121.265817 ##DATA UPLOAD SUCCESS					1	1	0	0	0	0
124.245453 ##DATA UPLOADING					1	1	0	0	0	0
124.521237 ##DATA UPLOAD SUCCESS					1	1	0	0	0	0
127.430631 ##DATA UPLOADING					1	1	0	0	0	0
127.637546 ##DATA UPLOAD SUCCESS					1	1	0	0	0	0
130.622164 ##DATA UPLOADING					1	1	0	0	0	0
132.412132 ##DATA UPLOAD SUCCESS					1	1	0	0	0	0
133.808617 ##DATA UPLOADING					1	1	0	0	0	0
134.005977 ##DATA UPLOAD SUCCESS					1	1	0	0	0	0
136.994525 ##DATA UPLOADING					1	1	0	0	0	0
137.27742 ##DATA UPLOAD SUCCESS					1	1	0	0	0	0
140.180632 ##DATA UPLOADING					1	1	0	0	0	0
140.384432 ##DATA UPLOAD SUCCESS					1	1	0	0	0	0
143.37333 ##DATA UPLOADING					1	1	0	0	0	0
143.656493 ##DATA UPLOAD SUCCESS					1	1	0	0	0	0
146.556595 ##DATA UPLOADING					1	1	0	0	0	0
146.758168 ##DATA UPLOAD SUCCESS					1	1	0	0	0	0
149.744831 ##DATA UPLOADING					1	1	0	0	0	0
150.033527 ##DATA UPLOAD SUCCESS					1	1	0	0	0	0
152.93113 ##DATA UPLOADING					1	1	0	0	0	0
153.1412 ##DATA UPLOAD SUCCESS					1	1	0	0	0	0
156.122961 ##DATA UPLOADING					1	1	0	0	0	0
156.418282 ##DATA UPLOAD SUCCESS					1	1	0	0	0	0
159.311297 ##DATA UPLOADING					1	1	0	0	0	0
159.527551 ##DATA UPLOAD SUCCESS					1	1	0	0	0	0
162.495827 ##DATA UPLOADING					1	0.833333333	0	0	0	0.166666667
162.786807 ##DATA UPLOAD SUCCESS					1	0.666666667	0	0	0	0.333333333
165.270388 Mixed On					0	0.5	0	0	1	0.5
165.683015 ##DATA UPLOADING					0	0.333333333	0	0	1	0.666666667
165.891294 ##DATA UPLOAD SUCCESS					0	0.166666667	0	0	1	0.833333333
168.870729 ##DATA UPLOADING					0	0	0	0	1	1
169.15992 ##DATA UPLOAD SUCCESS					0	0	0	0	1	1
172.058354 ##DATA UPLOADING					0	0	0	0	1	1
172.27195 ##DATA UPLOAD SUCCESS					0	0	0	0	1	1
175.246511 ##DATA UPLOADING					0	0	0	0	1	1
175.537343 ##DATA UPLOAD SUCCESS					0	0	0	0	1	1
178.43187 ##DATA UPLOADING					0	0	0	0	1	1
178.712198 ##DATA UPLOAD SUCCESS					0	0	0	0	1	1
179.669902 Negative On					0	0	0	0	1	1
181.624298 ##DATA UPLOADING					0	0	0	0	1	1
181.912914 ##DATA UPLOAD SUCCESS					0	0	0	0	1	1
184.807121 ##DATA UPLOADING					0	0	0	0	1	1
185.021895 ##DATA UPLOAD SUCCESS					0	0	0	0	1	1
187.994944 ##DATA UPLOADING					0	0	0	0	1	1
188.28795 ##DATA UPLOAD SUCCESS					0	0	0	0	1	1
191.182253 ##DATA UPLOADING					0	0	0	0	1	1
191.429444 ##DATA UPLOAD SUCCESS					0	0	0	0	1	1
194.374714 ##DATA UPLOADING					0	0	0	0	1	1
