0 ##VIDEO STARTED					Positive	Positive_Smooth	Negative	Negative_Smooth	Mixed	Mixed_Smooth
3.117379 ##DATA UPLOADING					0					
3.390845 ##DATA UPLOAD SUCCESS					0					
6.308915 ##DATA UPLOADING					0					
6.519167 ##DATA UPLOAD SUCCESS					0					
9.498598 ##DATA UPLOADING					0					
9.775642 ##DATA UPLOAD SUCCESS					0					
12.691431 ##DATA UPLOADING					0					
12.90033 ##DATA UPLOAD SUCCESS					0					
15.872181 ##DATA UPLOADING					0					
16.155494 ##DATA UPLOAD SUCCESS					0					
19.063959 ##DATA UPLOADING					0					
19.258904 ##DATA UPLOAD SUCCESS					0					
22.250408 ##DATA UPLOADING					0					
22.530748 ##DATA UPLOAD SUCCESS					0					
23.572801 Positive On					1					
25.440388 ##DATA UPLOADING					1					
25.624091 ##DATA UPLOAD SUCCESS					1					
28.620255 ##DATA UPLOADING					1					
28.896843 ##DATA UPLOAD SUCCESS					1					
31.81263 ##DATA UPLOADING					1					
32.020694 ##DATA UPLOAD SUCCESS					1					
35.00233 ##DATA UPLOADING					1					
35.349571 ##DATA UPLOAD SUCCESS					1					
38.180808 ##DATA UPLOADING					1					
38.403691 ##DATA UPLOAD SUCCESS					1					
41.372814 ##DATA UPLOADING					1					
41.651425 ##DATA UPLOAD SUCCESS					1					
44.564715 ##DATA UPLOADING					1					
44.769911 ##DATA UPLOAD SUCCESS					1					
47.752446 ##DATA UPLOADING					1					
48.012306 ##DATA UPLOAD SUCCESS					1					
50.934011 ##DATA UPLOADING					1					
51.155342 ##DATA UPLOAD SUCCESS					1					
54.124321 ##DATA UPLOADING					1					
54.409594 ##DATA UPLOAD SUCCESS					1					
57.311801 ##DATA UPLOADING					1					
57.496768 ##DATA UPLOAD SUCCESS					1					
60.492885 ##DATA UPLOADING					1					
60.769132 ##DATA UPLOAD SUCCESS					1					
63.684275 ##DATA UPLOADING					1					
63.891699 ##DATA UPLOAD SUCCESS					1					
66.876818 ##DATA UPLOADING					1					
67.165756 ##DATA UPLOAD SUCCESS					1					
70.066876 ##DATA UPLOADING					1					
70.272517 ##DATA UPLOAD SUCCESS					1					
73.242903 ##DATA UPLOADING					1					
73.284057 Crying On					1					
73.540937 ##DATA UPLOAD SUCCESS					1					
76.434768 ##DATA UPLOADING					1					
76.638122 ##DATA UPLOAD SUCCESS					1					
79.626147 ##DATA UPLOADING					1					
79.91077 ##DATA UPLOAD SUCCESS					1					
82.811609 ##DATA UPLOADING					1					
82.815307 Crying Off					1					
83.037574 ##DATA UPLOAD SUCCESS					1					
85.994888 ##DATA UPLOADING					1					
86.30284 ##DATA UPLOAD SUCCESS					1					
89.186779 ##DATA UPLOADING					1					
89.388352 ##DATA UPLOAD SUCCESS					1					
92.380513 ##DATA UPLOADING					1					
92.643836 ##DATA UPLOAD SUCCESS					1					
95.557396 ##DATA UPLOADING					1					
95.761887 ##DATA UPLOAD SUCCESS					1					
98.746994 ##DATA UPLOADING					1					
99.037479 ##DATA UPLOAD SUCCESS					1					
101.936849 ##DATA UPLOADING					1					
102.134502 ##DATA UPLOAD SUCCESS					1					
102.492972 Crying On					1					
105.119532 ##DATA UPLOADING					1					
105.388442 ##DATA UPLOAD SUCCESS					1					
107.678257 Crying Off					1					
108.307531 ##DATA UPLOADING					1					
108.510129 ##DATA UPLOAD SUCCESS					1					
111.495866 ##DATA UPLOADING					1					
111.760262 ##DATA UPLOAD SUCCESS					1					
114.510188 Crying On					1					
114.688934 ##DATA UPLOADING					1					
114.877951 ##DATA UPLOAD SUCCESS					1					
117.868844 ##DATA UPLOADING					1					
118.135929 ##DATA UPLOAD SUCCESS					1					
120.913737 Crying Off					1					
121.061411 ##DATA UPLOADING					1					
121.268196 ##DATA UPLOAD SUCCESS					1					
124.248997 ##DATA UPLOADING					1					
124.52976 ##DATA UPLOAD SUCCESS					1					
127.431543 ##DATA UPLOADING					1					
127.623181 ##DATA UPLOAD SUCCESS					1					
130.352743 Crying On					1					
130.620791 ##DATA UPLOADING					1					
130.886615 ##DATA UPLOAD SUCCESS					1					
133.815273 ##DATA UPLOADING					1					
134.013581 ##DATA UPLOAD SUCCESS					1					
136.677059 Crying Off					1					
137.001006 ##DATA UPLOADING					1					
137.36049 ##DATA UPLOAD SUCCESS					1					
140.181472 ##DATA UPLOADING					1					
140.394361 ##DATA UPLOAD SUCCESS					1					
143.375003 ##DATA UPLOADING					1					
143.659797 ##DATA UPLOAD SUCCESS					1					
146.563394 ##DATA UPLOADING					1					
146.606476 Crying On					1					
146.771172 ##DATA UPLOAD SUCCESS					1					
149.752416 ##DATA UPLOADING					1					
150.024002 ##DATA UPLOAD SUCCESS					1					
152.931247 ##DATA UPLOADING					1					
153.138636 ##DATA UPLOAD SUCCESS					1					
153.700485 Crying Off					1					
156.123137 ##DATA UPLOADING					1					
156.44953 ##DATA UPLOAD SUCCESS					1					
159.315149 ##DATA UPLOADING					1					
159.528249 ##DATA UPLOAD SUCCESS					1					
162.491821 ##DATA UPLOADING					1					
162.785578 ##DATA UPLOAD SUCCESS					1					
165.490479 Crying On					1					
165.681427 ##DATA UPLOADING					1					
165.887561 ##DATA UPLOAD SUCCESS					1					
168.876903 ##DATA UPLOADING					1					
169.154985 ##DATA UPLOAD SUCCESS					1					
172.06558 ##DATA UPLOADING					1					
172.265051 ##DATA UPLOAD SUCCESS					1					
174.789628 Crying Off					1					
175.243343 ##DATA UPLOADING					1					
175.532304 ##DATA UPLOAD SUCCESS					1					
178.390807 Crying On					1					
178.437153 ##DATA UPLOADING					1					
178.638091 ##DATA UPLOAD SUCCESS					1					
179.727279 Crying Off					1					
181.626822 ##DATA UPLOADING					1					
181.909693 ##DATA UPLOAD SUCCESS					1					
184.806591 ##DATA UPLOADING					1					
185.025775 ##DATA UPLOAD SUCCESS					1					
187.993433 ##DATA UPLOADING					1					
188.301342 ##DATA UPLOAD SUCCESS					1					
191.185231 ##DATA UPLOADING					1					
191.385138 ##DATA UPLOAD SUCCESS					1					
194.379439 ##DATA UPLOADING					1					
194.684855 ##DATA UPLOAD SUCCESS					1					
197.557899 ##DATA UPLOADING					1					
197.776434 ##DATA UPLOAD SUCCESS					1					
198.339731 Crying On					1					
200.746787 ##DATA UPLOADING					1					
201.062716 ##DATA UPLOAD SUCCESS					1					
203.935464 ##DATA UPLOADING					1					
204.037061 Positive Off					0					
204.125942 ##DATA UPLOAD SUCCESS					0					
204.713767 Crying Off					0					
207.1188 ##DATA UPLOADING					0					
207.392507 ##DATA UPLOAD SUCCESS					0					
