0 ##VIDEO STARTED				Positive	Positive_Smooth	Negative	Negative_Smooth	Mixed	Mixed_Smooth
3.101845 ##DATA UPLOADING				0	0	0	0	0	0
3.328376 ##DATA UPLOAD SUCCESS				0	0	0	0	0	0
6.296084 ##DATA UPLOADING				0	0	0	0	0	0
6.512932 ##DATA UPLOAD SUCCESS				0	0	0	0	0	0
9.481271 ##DATA UPLOADING				0	0	0	0	0	0
9.777616 ##DATA UPLOAD SUCCESS				0	0	0	0	0	0
12.674431 ##DATA UPLOADING				0	0	0	0	0	0
12.885752 ##DATA UPLOAD SUCCESS				0	0	0	0	0	0
15.852731 ##DATA UPLOADING				0	0.166666667	0	0	0	0
16.125106 ##DATA UPLOAD SUCCESS				0	0.333333333	0	0	0	0
18.725316 Positive On				1	0.5	0	0	0	0
19.045152 ##DATA UPLOADING				1	0.666666667	0	0	0	0
19.256747 ##DATA UPLOAD SUCCESS				1	0.833333333	0	0	0	0
22.234882 ##DATA UPLOADING				1	1	0	0	0	0
22.540306 ##DATA UPLOAD SUCCESS				1	1	0	0	0	0
25.426396 ##DATA UPLOADING				1	1	0	0	0	0
25.637716 ##DATA UPLOAD SUCCESS				1	1	0	0	0	0
28.604514 ##DATA UPLOADING				1	1	0	0	0	0
28.898041 ##DATA UPLOAD SUCCESS				1	1	0	0	0	0
31.79514 ##DATA UPLOADING				1	1	0	0	0	0
32.009158 ##DATA UPLOAD SUCCESS				1	1	0	0	0	0
34.984979 ##DATA UPLOADING				1	1	0	0	0	0
35.271901 ##DATA UPLOAD SUCCESS				1	1	0	0	0	0
38.1647 ##DATA UPLOADING				1	1	0	0	0	0
38.374953 ##DATA UPLOAD SUCCESS				1	1	0	0	0	0
41.356425 ##DATA UPLOADING				1	1	0	0	0	0
41.63615 ##DATA UPLOAD SUCCESS				1	1	0	0	0	0
44.546957 ##DATA UPLOADING				1	1	0	0	0	0
44.745196 ##DATA UPLOAD SUCCESS				1	1	0	0	0	0
47.738786 ##DATA UPLOADING				1	1	0	0	0	0
48.010884 ##DATA UPLOAD SUCCESS				1	1	0	0	0	0
50.91649 ##DATA UPLOADING				1	1	0	0	0	0
51.138263 ##DATA UPLOAD SUCCESS				1	1	0	0	0	0
54.114131 ##DATA UPLOADING				1	1	0	0	0	0
54.395067 ##DATA UPLOAD SUCCESS				1	1	0	0	0	0
57.298855 ##DATA UPLOADING				1	1	0	0	0	0
57.503101 ##DATA UPLOAD SUCCESS				1	1	0	0	0	0
60.488869 ##DATA UPLOADING				1	1	0	0	0	0
60.76146 ##DATA UPLOAD SUCCESS				1	1	0	0	0	0
63.669481 ##DATA UPLOADING				1	1	0	0	0	0
63.88153 ##DATA UPLOAD SUCCESS				1	1	0	0	0	0
66.858285 ##DATA UPLOADING				1	1	0	0	0	0
67.147222 ##DATA UPLOAD SUCCESS				1	1	0	0	0	0
70.048897 ##DATA UPLOADING				1	1	0	0	0	0
70.250394 ##DATA UPLOAD SUCCESS				1	1	0	0	0	0
73.230466 ##DATA UPLOADING				1	1	0	0	0	0
73.517816 ##DATA UPLOAD SUCCESS				1	1	0	0	0	0
76.418257 ##DATA UPLOADING				1	1	0	0	0	0
76.642401 ##DATA UPLOAD SUCCESS				1	1	0	0	0	0
79.614656 ##DATA UPLOADING				1	1	0	0	0	0
79.910156 ##DATA UPLOAD SUCCESS				1	1	0	0	0	0
82.800729 ##DATA UPLOADING				1	1	0	0	0	0
83.008662 ##DATA UPLOAD SUCCESS				1	1	0	0	0	0
85.979385 ##DATA UPLOADING				1	1	0	0	0	0
86.264028 ##DATA UPLOAD SUCCESS				1	1	0	0	0	0
89.17241 ##DATA UPLOADING				1	1	0	0	0	0
89.378518 ##DATA UPLOAD SUCCESS				1	1	0	0	0	0
92.364498 ##DATA UPLOADING				1	1	0	0	0	0
92.661047 ##DATA UPLOAD SUCCESS				1	1	0	0	0	0
95.54327 ##DATA UPLOADING				1	1	0	0	0	0
95.76285 ##DATA UPLOAD SUCCESS				1	1	0	0	0	0
98.731393 ##DATA UPLOADING				1	1	0	0	0	0
99.027522 ##DATA UPLOAD SUCCESS				1	1	0	0	0	0
101.923305 ##DATA UPLOADING				1	1	0	0	0	0
102.11642 ##DATA UPLOAD SUCCESS				1	1	0	0	0	0
105.116298 ##DATA UPLOADING				1	1	0	0	0	0
105.376769 ##DATA UPLOAD SUCCESS				1	1	0	0	0	0
108.290994 ##DATA UPLOADING				1	1	0	0	0	0
108.50103 ##DATA UPLOAD SUCCESS				1	1	0	0	0	0
111.483399 ##DATA UPLOADING				1	1	0	0	0	0
111.787255 ##DATA UPLOAD SUCCESS				1	1	0	0	0	0
114.67217 ##DATA UPLOADING				1	1	0	0	0	0
114.873566 ##DATA UPLOAD SUCCESS				1	1	0	0	0	0
117.856683 ##DATA UPLOADING				1	1	0	0	0	0
118.144748 ##DATA UPLOAD SUCCESS				1	1	0	0	0	0
121.042764 ##DATA UPLOADING				1	1	0	0	0	0
121.259593 ##DATA UPLOAD SUCCESS				1	1	0	0	0	0
124.233636 ##DATA UPLOADING				1	1	0	0	0	0
124.52331 ##DATA UPLOAD SUCCESS				1	1	0	0	0	0
127.42553 ##DATA UPLOADING				1	1	0	0	0	0
127.631258 ##DATA UPLOAD SUCCESS				1	1	0	0	0	0
130.602732 ##DATA UPLOADING				1	1	0	0	0	0
130.898108 ##DATA UPLOAD SUCCESS				1	1	0	0	0	0
133.794889 ##DATA UPLOADING				1	1	0	0	0	0
134.009766 ##DATA UPLOAD SUCCESS				1	1	0	0	0	0
136.986312 ##DATA UPLOADING				1	1	0	0	0	0
137.287883 ##DATA UPLOAD SUCCESS				1	1	0	0	0	0
140.167485 ##DATA UPLOADING				1	1	0	0	0	0
140.376937 ##DATA UPLOAD SUCCESS				1	1	0	0	0	0
143.358397 ##DATA UPLOADING				1	1	0	0	0	0
143.667847 ##DATA UPLOAD SUCCESS				1	1	0	0	0	0
146.547232 ##DATA UPLOADING				1	1	0	0	0	0
146.712599 ##DATA UPLOAD SUCCESS				1	1	0	0	0	0
149.737748 ##DATA UPLOADING				1	1	0	0	0	0
150.002 ##DATA UPLOAD SUCCESS				1	1	0	0	0	0
152.915108 ##DATA UPLOADING				1	1	0	0	0	0
153.137718 ##DATA UPLOAD SUCCESS				1	1	0	0	0	0
156.110225 ##DATA UPLOADING				1	0.833333333	0	0	0	0
156.416918 ##DATA UPLOAD SUCCESS				1	0.666666667	0	0	0	0
157.666487 Positive Off				0	0.5	0	0	0	0
159.29648 ##DATA UPLOADING				0	0.333333333	0	0	0	0
159.488318 ##DATA UPLOAD SUCCESS				0	0.166666667	0	0	0	0
